,Country,Variable,In/Dec,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
0,Brazil,E,0.1,2705.514832252075,7382.521609259066,1698.5095100400001
1,China,E,0.1,4152.4061870673,6493.556296239924,3029.8730352000002
2,Saudi_Arabia,E,0.1,2528.473073043101,2257.9099318396984,1547.5014292800001
3,Spain,E,0.1,3038.2970656552816,17738.99892429552,1990.389189
4,USA,E,0.1,14798.370142199885,64425.535556630806,14322.585183599998
5,Brazil,H,0.1,2705.514832252075,7156.091179889314,1698.5095100400001
6,China,H,0.1,4152.4061870673,6303.478081733096,3029.8730352000002
7,Saudi_Arabia,H,0.1,2528.473073043101,2197.2336504183527,1547.5014292800001
8,Spain,H,0.1,3038.2970656552816,17177.09975420751,1990.389189
9,USA,H,0.1,14798.370142199885,62403.8769656991,14322.585183599998
10,Brazil,C,0.1,2705.514832252075,7603.152279094354,1698.5095100400001
11,China,C,0.1,4152.4061870673,6679.105879027662,3029.8730352000002
12,Saudi_Arabia,C,0.1,2528.473073043101,2316.9192086590356,1547.5014292800001
13,Spain,C,0.1,3038.2970656552816,18285.61244577499,1990.389189
14,USA,C,0.1,14798.370142199885,66392.23524866882,14322.585183599998
