,Country,Variable,In/Dec,WFGD_EAC,WFGD_TPC,WFGD_REV
0,Brazil,E,-0.1,180020.35782791302,51537.07021896178,2220.99744025
1,China,E,-0.1,254314.48826232672,59276.94014430914,3959.2059177500005
2,Saudi_Arabia,E,-0.1,171074.00238602347,32972.69533455668,2045.22803125
3,Spain,E,-0.1,198776.36791409974,89604.0110444618,2623.5656384999997
4,USA,E,-0.1,647078.0477366003,310578.97408052225,18779.0972175
5,Brazil,H,-0.1,180020.35782791302,49511.44829787808,2220.99744025
6,China,H,-0.1,254314.48826232672,57581.08251291051,3959.2059177500005
7,Saudi_Arabia,H,-0.1,171074.00238602347,32426.473718066754,2045.22803125
8,Spain,H,-0.1,198776.36791409974,84550.91019714123,2623.5656384999997
9,USA,H,-0.1,647078.0477366003,292502.4619212644,18779.0972175
10,Brazil,C,-0.1,180020.35782791302,51211.417921990615,2220.99744025
11,China,C,-0.1,254314.48826232672,59004.096360768024,3959.2059177500005
12,Saudi_Arabia,C,-0.1,171074.00238602347,32884.809528563484,2045.22803125
13,Spain,C,-0.1,198776.36791409974,88791.12422363996,2623.5656384999997
14,USA,C,-0.1,647078.0477366003,307670.8537085599,18779.0972175
