,Country,Variable,In/Dec,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG
0,Brazil,CP,-0.1,76036.9106988377,407276.8160317261,180237.47523515398,207824.66341514772
1,China,CP,-0.1,115301.13626699774,348689.5776967737,406104.91858525603,455316.1152183086
2,Saudi_Arabia,CP,-0.1,71098.52971539239,118524.44331149288,121709.85786275196,146844.3734918507
3,Spain,CP,-0.1,85224.19730814798,1006110.3418004025,194157.35045322543,226485.24784033667
4,USA,CP,-0.1,355897.1514849933,3589226.058412808,1314161.722746497,1546789.1381847092
5,Brazil,E,-0.1,76036.9106988377,407276.8160317261,198508.06546777947,226095.2536477732
6,China,E,-0.1,115301.13626699774,348689.5776967737,448095.52645532636,497306.72308837884
7,Saudi_Arabia,E,-0.1,71098.52971539239,118524.44331149288,133633.62084407057,158768.13647316932
8,Spain,E,-0.1,85224.19730814798,1006110.3418004025,213673.01854049563,246000.91592760687
9,USA,E,-0.1,355897.1514849933,3589226.058412808,1445374.2186279425,1678001.6340661547
10,Brazil,H,-0.1,76036.9106988377,383698.8264640786,198508.06546777947,226095.2536477732
11,China,H,-0.1,115301.13626699774,328999.6715474929,448095.52645532636,497306.72308837884
12,Saudi_Arabia,H,-0.1,71098.52971539239,112083.2376458217,133633.62084407057,158768.13647316932
13,Spain,H,-0.1,85224.19730814798,946642.487464152,213673.01854049563,246000.91592760687
14,USA,H,-0.1,355897.1514849933,3378410.345203369,1445374.2186279425,1678001.6340661547
15,Brazil,C,-0.1,76036.9106988377,391310.81419333344,198508.06546777947,226095.2536477732
16,China,C,-0.1,115301.13626699774,335305.4546638632,448095.52645532636,497306.72308837884
17,Saudi_Arabia,C,-0.1,71098.52971539239,114220.01753308708,133633.62084407057,158768.13647316932
18,Spain,C,-0.1,85224.19730814798,966293.8734969026,213673.01854049563,246000.91592760687
19,USA,C,-0.1,355897.1514849933,3446659.52723869,1445374.2186279425,1678001.6340661547
